"im a sucker for mob gangland movies so i rented this movie this movie is a complete train wreck with all the big name actors in this film i can not believe how bad it was it was so bad that i began laughing hysterically towards the end of the film the actor better known as zues or the big dude from the ice cube movie friday does an incredible overacting job throughout the film first thing i told blockbuster when i returned the film was to remove this garbage from their shelves do not rent this movie unless you want to waste two hours of your life if they come out with a sequel i wonder if it will be twice as bad as the first i will be more cautious when renting so called mob gangland movies ","-1"
"one more of those brilliant young men who went all out and dared to make a teen romance film can i actually call it that it would invoke the devil out of its fans on a micro budget but packed with such taste sensitiveness and maturity peter sollett you deserve more admiration and respect thanks once again for demonstrating to the powers that be in the industry that stereotypes can be flushed down the toilet one location a handful of rich characters low budget good acting and that too amateurs decent lighting worshippers of true indie cinema should watch more of this and stop watching well you know what ","1"
"theres something about every hammer movie i see that really takes me into a new fantasy world in the world of hammer movies anything can happen guardian of the abyss is one of those types of movies it adventures deep into the occult and hypnosis to bring a different type of horror fantasy all in all an unforgettable movie 7 5 10 ","1"
"this is the only pauly shore movie you should ever see o k its the only one ive ever seen and i think ive made good choices i normally find shores shtick kind of tired but he is very funny in this movie actually the script is pretty funny and shore doesnt overwhelm the other actors with his what do you call it tomfoolery anyway this is a funny if ultimately forgettable film frink 3","1"
"i foolishly read the back of the dvd cover of this movie in best buy about a year ago and said to myself seems funny plus it has michael clarke duncan how can i lose i proceeded to pay 15 99 plus tax for it i took it over to a friends house and we both stood aghast at how poorly it was written and acted wooden performances abound all the hilarious and outstanding performances promised never seemed to arrive after 90 minutes i hung my head in shame knowing that i could never get that 90 minutes or 15 99 back i literally almost cried as well because if that was what could be considered comedy i didnt want to believe in movies anymore my friend and i constantly informed a friend of ours of the horror of this movie to the point that he needed to see it just to understand how bad it was over the holiday season this year i watched it with him because he didnt want to watch it alone this was my next horrible mistake because as i watched i just became angry i began to yell at the movie and im not one to talk to movies period everyone i know that has even glimpsed this movie has agreed its the worst theyve ever seen my sense of humor is sick and twisted and often offends my friends but that could not save this movie even the fact that this movie is not on the bottom 100 list on imdb is astounding the fact that its rating at the time of this writing is 3 6 is a crime against humanity ","-1"
"a beautiful woman a backwoods inbred monster man a super sweet monster truck a road kill zombie brother and 2 friends one anal retentive overly sensitive nerd and the other a foul mouthed adolescent slob throw them all together with a dash of jeepers creepers texas chainsaw massacre and road trip and youve got monster man a hilarious horror comedy outing that never sets out to say something its a simple straight forward laugh fest unpretentious and well made this horror comedy is at its heart a buddy flick this film offered some hilarious and sickening set pieces i highly recommend this to fright fans looking to be entertained ","1"
"a man arrives in a strange beautiful sterile city where no one feels any emotion and obsesses instead about interior design the essential sameness of his days is reminiscent of groundhog day the strange passages in and out of this world more remind one of being john malkovich but truly this is a scandanavian movie a piece of self satire that is also scandanavian in style the tone is austere and even the most fantastic scenes are played straight daring you to laugh at the absurdity to my mind the combination isnt wholly successful there arent enough genuine laughs to compensate for the difficulties of taking the piece as pure drama it certainly is original perhaps my problem is that the world that it satirises is not one that i recognise perhaps i should move to scandanavia ","1"
"if youre a north american tourist looking for a trap here it is was this trading spaces visits tuscany there were way too many stereotypes little attention was given to character and plot development yawn highlight of the film the flag throwing poor guy i thought he was going to loose an eye ","-1"
"jim carrey rocks if hes in a movie its bound to be good he did not disappoint me with this one the rest of the cast was cute especially little cindy lou who and martha may i was laughing through the whole thing and cannot wait to see it again ","1"
"the tortuous emotional impact is degrading whether adult or adolescent the personal values shown in this movie belong in a bad psychodrama if anywhere at all this movie has a plot but it is all evil from start to end this is no way for people to act and degrades both sexes all the way through the movie teen killing bad preteen sex bad emotional battering bad animal cruelty bad psychological torture bad parental neglect bad the only merit if any is the excellent color shots of contrasting red blond and green leaves a bad feeling for anyone that respects life and peace what a bad mistake to make or to watch it is ugly","-1"
